Sentence,ESG-BERT Label,ESG-BERT Score,FinBERT Label,FinBERT Score,GPT Score
"In other words, short-term holders now face losses or hold positions in the red and could attempt to exit the market at a loss or breakeven, potentially adding to selling pressure near $65,000.",Systemic_Risk_Management,0.74960345,None,0.040223062,0.2
Bitcoin price volatility shakes out weak hands and provides opportunities for strategic capital deployment to those with a longer time horizon,Systemic_Risk_Management,0.541641116,None,0.018694103,0.3
"A Trump victory in November could signal a shift toward more favorable regulatory conditions for the crypto industry, according to analysts at Bitfinex. ",Management_Of_Legal_And_Regulatory_Framework,0.921184182,Social,0.887415111,0.6
"A Trump administration might prioritize creating a clear and supportive regulatory framework, encouraging innovation and investment in the crypto sector. ",Management_Of_Legal_And_Regulatory_Framework,0.920293033,Social,0.957257152,0.6
"This could lead to increased adoption of digital assets and a more robust integration of cryptocurrencies into the financial system, potentially spurring further growth in the industry",Systemic_Risk_Management,0.474426746,None,0.017645597,0.3
"The focus on bitcoin was engendered by changes in the investment environment resulting from the Covid pandemic, according to the Metaplanet website.",Systemic_Risk_Management,0.653050303,Social,0.969853461,0.2
"Metaplanet (3350), a publicly listed Japanese investment adviser, said it bought more than 20.2 bitcoin (BTC) as part of a $6 million strategy to boost BTC holdings in its treasury.",Systemic_Risk_Management,0.41090256,None,0.241848469,0.2
Within days the price of FTT plummeted and Bankman-Fried agreed to a bailout from rival exchange Binance.,Systemic_Risk_Management,0.789618015,Social,0.911608994,0.6
"Almost immediately, Binance got cold feet, as revealed by another Polk-winning scoop from Allison that instantly drove down prices in the entire crypto market.",Competitive_Behavior,0.782002032,Environmental,0.634156406,0.2
"The piece raised concerns about nepotism, secrecy and conflicts of interest, previewing the tone of ascathing report issued soon after on FTXs extremely lax administrative procedures.",Business_Ethics,0.948146641,Governance,0.792227268,0.8
"Nine days after Allisons initial story, Bankman-Frieds companies filed for bankruptcy protection. ",Systemic_Risk_Management,0.62580198,None,0.04313159,0.2
"Not long after, Bankman-Fried was arrested and the U.S. Congress held hearings.",Management_Of_Legal_And_Regulatory_Framework,0.638133943,Governance,0.72573936,0.2
"The resulting story raised concerns about the stability of Alameda and FTX, and called into question Bankman-Frieds image as a white knight capable of backstopping struggling companies and as an 'adult in the room' in a field notorious for fly-by-night outfits and scammers",Systemic_Risk_Management,0.557278633,Social,0.878470063,0.6
"Wang, a deputy managing editor, provided the third CoinDesk scoop honored by the Polk Awards: A story revealing that Bankman-Fried and nine co-workers lived together in a luxury Bahamas condominium and at times dated each other while running his companies including the fact that Bankman-Fried and Alameda CEO Caroline Ellison had once been a couple.",Labor_Practices,0.12784256,Social,0.919130087,0
Analysts speculate that these dormant holders might be looking to cash out while prices hover near record highs or engage in speculative activities in the derivatives market.,Competitive_Behavior,0.689861774,None,0.024187863,0.2
"The selling by long-term holders, coupled with faster liquidations by miners and the German government's divestment of coin holdings, has pushed prices lower by nearly 9% this month.",Competitive_Behavior,0.800673962,None,0.011632383,0.2
"The pause coincides with the dollar index (DXY) topping 106, the highest since May 2, keeping investor risk appetite under check ahead of U.S. first-quarter GDP data, durable goods for May and a weekly jobless report scheduled for 12:30 UTC (08:30 EST).",Systemic_Risk_Management,0.887093008,Social,0.561469138,0
"Galaxy also warned that demand may be limited due to the lack of staking rewards, echoing comments by Bernstein and JPMorgan and said outflows from the Grayscale Ethereum Trust (ETHE) may act as a drag on the overall inflows. ",Systemic_Risk_Management,0.558758855,None,0.332773924,0.2
"The SEC could approve the funds as soon as July 4, according to a Reuters report on Thursday",Management_Of_Legal_And_Regulatory_Framework,0.933975458,None,0.289963365,0
Bitcoin miner Marathon Digital (MARA) has become a multicoin miner to diversify its revenue stream as the recent Bitcoin halving cut profits by 50% and made the industry more competitive. ,Competitive_Behavior,0.654564202,None,0.038573384,0.3
"The company has mined 93 million kaspa (KAS) tokens since September 2023, valued at about $15 million, and brought 30 petahash worth of machines online to mine the token, while 30 more will be starting by the third quarter.",Competitive_Behavior,0.316084266,None,0.162526727,0.6
Consensus is fast building that demand for U.S.-based spot ether ETFs may not be as strong as for bitcoin ETFs,Competitive_Behavior,0.626245737,Environmental,0.531977713,0.2
"The impending expiry, which represents over 40% of the current cumulative open interest of over $23 billion, could trigger a surge in market volatility.",Systemic_Risk_Management,0.720114648,None,0.00891614,0.2
"While short-term bearish sentiment is evident, traders anticipate a positive shift for bitcoin by July 12 and ETH by July 5, looking at options skew.",Systemic_Risk_Management,0.669721663,None,0.05653435,0.1
"According to blockchain sleuth Lookonchain, the eurozone's largest economy transferred 750 BTC, valued at over $46 million, sending 250 BTC to crypto exchanges Bitstamp and Kraken, an indication that the country may be preparing to sell the tokens. ",Systemic_Risk_Management,0.545939386,Social,0.844608247,0.2
"This action, part of a divestment of BTC seized from a privacy website, added to bearish pressures in the market. The government holds over 45,000 BTC.",Management_Of_Legal_And_Regulatory_Framework,0.687300265,Social,0.927015126,0.3
The Cardano blockchain demonstrated its resilience by successfully repelling a distributed denial of service (DDoS) attack aimed at stealing staked tokens on Tuesday,Business_Model_Resilience,0.320712626,Social,0.928561509,0.5
"Philip Disarro, the founder of Cardano development firm Anastasia, said the attack could be stopped by deregistering the stake credentials used by the attacker.  ",Data_Security,0.881376088,Social,0.958312452,0.2
"The crypto industry has lobbied to ensure digital assets are discussed in the televised presidential faceoff, and potential comments from the two candidates could inject volatility into the market.",Competitive_Behavior,0.5103755,Social,0.808820188,0.5
"Crypto traders will closely watch the debate, as Trump has made digital assets a vital issue in his presidential campaign by courting industry leadersand recently stressing the need to mine all remaining bitcoin in the U.S.",Systemic_Risk_Management,0.35155195,Social,0.720381558,0.6
"Meanwhile, Biden has been silent, having asked federal agencies to explore risks and opportunities, including the potential debut of a Fed-managed central bank digital currency.",Systemic_Risk_Management,0.92279762,Social,0.937939465,0.3
"Aside from the vocal support hes given, bitcoin has tended to perform well during periods of political and economic uncertainty, and a second Trump presidency will likely see more of both,"" Roarty added.",Systemic_Risk_Management,0.509821177,Social,0.980660379,0.2
"Bitcoin (BTC) fell back towards $60,000 on Wednesday, after a wallet tagged to the U.S. Government moved about $240 million worth of seized BTC to a Coinbase Prime address, igniting concerns among traders that the digital assets will likely to be sold.",Systemic_Risk_Management,0.402893245,Social,0.623589575,0.3
"The last movement by the government which in late 2022 seized roughly 50,000 bitcoin related to the Silk Road website was $2 billion worth of bitcoin on April 2, which at the time also put pressure on digital markets.",Systemic_Risk_Management,0.500648737,Social,0.832569838,0.6
" The last confirmed sale by the government was in March 2023, when it unloaded 9,861 coins for $216 million.",Management_Of_Legal_And_Regulatory_Framework,0.590506434,None,0.353073597,0
"With that site notably not allowing crypto for donations, the family quickly moved to set up another page to accept bitcoin",Competitive_Behavior,0.239954755,Social,0.962641478,0.2
Core Scientific said it had signed a 200 megawatts (MW) artificial intelligence deal with the cloud computing firm earlier this month. ,Energy_Management,0.740608156,Social,0.906467915,0.2
News of the deal triggered a re-rating of the bitcoin mining sector as investors reacted positively to the announcement.,Business_Model_Resilience,0.455588996,None,0.010140002,0.3
"This is a reflection of the ""alternative (and potentially more accretive) use cases for mining facilities and the scarcity and value of power access,"" analysts Reginald Smith and Charles Pearce wrote, adding that the Core Scientific deal ""validates and will accelerate miners diversifying into high performance computing (HPC) programs.""",Supply_Chain_Management,0.884042144,Environmental,0.795971751,0.75
"Overweight-rated Iris Energy (IREN) is best positioned to take advantage of the opportunity, the report said, noting that the company has excess power capacity and is not wedded to bitcoin mining.",Energy_Management,0.964045048,Environmental,0.675275147,0.6
"Iris Energy was early to embrace the HPC trend and is already running graphics processing units (GPUs) at its facilities, the bank noted.",Energy_Management,0.947771192,Environmental,0.913534403,0.6
"Riot Platforms (RIO), also overweight rated at JPMorgan, ""remains fully committed to bitcoin mining,"" and has not shown much interest in HPC despite its abundance of power capacity.",Systemic_Risk_Management,0.301381528,Environmental,0.775370657,0.6
"While our basic policy is to hold Bitcoin for the long term, if we use Bitcoin for operations or other purposes, the corresponding Bitcoin balance will be recorded as current assets on the balance sheet.",Systemic_Risk_Management,0.1939587,None,0.004548371,0.1
The funds for the purchase are sought from an upcoming bond issuance on Wednesday.,Management_Of_Legal_And_Regulatory_Framework,0.910583138,None,0.00623697,0
" Stock prices jumped as much as 12% in Tokyo trading hours following the statement, Yahoo Finance data shows.",Systemic_Risk_Management,0.474580973,None,0.406524181,0
Metaplanet started purchasing bitcoin in April to reduce yen exposure and offer Japanese investors crypto access with a preferential tax structure. ,Management_Of_Legal_And_Regulatory_Framework,0.945065677,None,0.180468738,0.3
"It officially adopted BTC as a reserve asset in May, and purchased another $1.6 million worth in June.",Systemic_Risk_Management,0.420714796,None,0.014310062,0.2
"Metaplanet holds 141 BTC as of Monday, data from Bitcointreasuries shows, and is currently the biggest corporate holder of bitcoin in Japan.",Systemic_Risk_Management,0.482493669,Social,0.596597016,0.2
"Bitcoin (BTC) is leading crypto prices sharply lower Monday after the trustee for the defunct Mt. Gox crypto exchange said it will begin returning more than 140,000 BTC in July to clients whose assets were stolen in a 2014 hack.",Data_Security,0.780016422,Social,0.738061786,0.6
"Those selling today are contemplating the effect of more than 140,000 bitcoin hitting the market in less than one month. ",Competitive_Behavior,0.314026326,None,0.070132077,0.2
"Putting that number in perspective, it would be just less than the immediate liquidation of Fidelity's spot bitcoin ETF, which at last check held 167,375 bitcoin.",Systemic_Risk_Management,0.400006324,None,0.252886713,0
"""We think fewer coins will be distributed than people think and that it will cause less bitcoin sell pressure than market expects,"" said Alex Thorn, head of research at Galaxy.",Competitive_Behavior,0.836679578,Social,0.508190393,0.2
"Thorn said his research suggests 75% of creditors will be taking the ""early"" payout in July, meaning a distribution of about 95,000 coins. ",Systemic_Risk_Management,0.365389436,Social,0.630788684,0
"Of that, Thorn believes 65,000 coins will be going to individual creditors, but he thinks they may prove more ""diamond-handed"" than most expect",Management_Of_Legal_And_Regulatory_Framework,0.663271844,Social,0.924973905,0.1
"Among the reasons, he said, is that they've already resisted years of ""compelling and aggressive offers from claims funds,"" not to mention the capital gains taxes involved given bitcoin is up 140-fold since the bankruptcy.",Systemic_Risk_Management,0.752178788,None,0.145002246,0.2
"Creditors who wanted to sell their bitcoin have now had more than 10 years to do so through selling their bankruptcy claims to more convicted, long-term investors.",Management_Of_Legal_And_Regulatory_Framework,0.431969315,None,0.210194886,0.2
"In addition, most creditors will likely hold their bitcoin because their cost basis is less than $700 per bitcoin, he added.",Systemic_Risk_Management,0.565003812,None,0.415002763,0
"The exact bitcoin amount to be distributed remains unknown publicly, but the exchange consolidated 140,000 BTC, worth around $9 billion, from multiple cold wallets to a single address in May.",Systemic_Risk_Management,0.281647533,Social,0.938359797,0.2
"Expectations of the upcoming selling pressure sent bitcoin spiraling down more than 4% on Monday, briefly driving it below $60,000 for the first time since early May.",Systemic_Risk_Management,0.686058521,None,0.027426124,0.2
"Strike, the payments application that uses the Bitcoin blockchain, has started a U.K. service, the company said in a blog post on Tuesday, expanding its global reach just months after rolling out in Europe and Africa. ",Systemic_Risk_Management,0.380253732,Social,0.65159899,0.3
"Customers in the U.K. can now buy, sell and withdraw funds using the Strike app, the company said. Users can send and receive bitcoin (BTC) or sterling.",Systemic_Risk_Management,0.208273008,None,0.050300658,0
The payments firm has been expanding aggressively and now operates in more than 100 countries and territories around the world. ,Management_Of_Legal_And_Regulatory_Framework,0.414602309,None,0.347040951,0.2
"While some crypto companies have retreated from the U.K., Strike said it was expanding its presence and doubling down on its commitment to further bitcoin adoption globally.",Systemic_Risk_Management,0.43645227,Social,0.768112004,0.3
The Financial Conduct Authority-registered firm Engelbert will ensure it is compliant with regulatory requirements regarding crypto promotions.,Management_Of_Legal_And_Regulatory_Framework,0.553262055,Governance,0.745142579,0.8
"The app, which launched in the U.S. in 2020, uses Bitcoin's Lightning Network for payments, which makes transfers quicker and cheaper.",Data_Security,0.493175179,Social,0.617457926,0.2
"With a population of 67 million, the U.K. is the second-largest economy in Europe and sixth-largest globally and presents significant opportunities for bitcoin adoption, the company said.",Systemic_Risk_Management,0.540704668,Social,0.733175159,0.2
"The crypto market regained some poise early Tuesday as analysts said supply overhang concerns stemming from defunct exchange Mt. Gox's planned distribution of 140,000 BTC are overdone",Systemic_Risk_Management,0.438333988,None,0.134483516,0.2
"Still, BTC, a liquidity proxy for macro traders, is down almost 10% for the month, starkly contrasting with a 5% gain in Wall Street's tech-heavy index, Nasdaq",Systemic_Risk_Management,0.914478302,None,0.122050226,0.2
"""If Bitcoin serves as a liquidity gauge, then it would tell us that liquidity in the market is falling and that the Nasdaq 100 should eventually follow suit and move lower as well,""",Systemic_Risk_Management,0.880679071,None,0.043090343,0
"""ETH should not see as much spot ETH conversion due to the lack of an ETH staking feature in the ETF,"" analysts Gautam Chhugani and Mahika Sapra wrote, adding that the basis trade will likely find takers over time and this should contribute to healthy liquidity in the ETF market.",Systemic_Risk_Management,0.855872393,None,0.071643889,0.1
Spot ether ETFs are close to becoming available to investors in the U.S. after the Securities and Exchange Commission (SEC) approved key regulatory filings from issuers last month,Management_Of_Legal_And_Regulatory_Framework,0.943272352,None,0.074999332,0.3
"Ether staking protocol Lido (LDO) continues to outperform the market up 14% on-day and 25% in the last week as traders continue to be impressed with its fees, revenue, and total value locked.",Competitive_Behavior,0.703151107,None,0.196841121,0
"In the last few days, bitcoin has been experiencing significant sell pressure due to the coming Mt. Gox bankruptcy redemptions and sales by miners.",Systemic_Risk_Management,0.600058436,None,0.015081525,0.6
,,,,,
,,,,39.21975607,23.55
